Incident Zip,Incident Count,Rooster Ratio,Ongoing Ratio,Current Ratio
11374,42,0.714285714,0.619047619,0.19047619
11422,16,0.375,0.3125,0.4375
11416,14,0.5,0.071428571,0.142857143
11004,5,0.4,0.4,0.4
11234,95,0.568421053,0.347368421,0.105263158
11239,5,0.2,0.2,0.2
11414,54,0.611111111,0.425925926,0.240740741
11691,51,0.529411765,0.31372549,0.039215686
11421,45,0.666666667,0.266666667,0.111111111
10461,81,0.679012346,0.358024691,0.209876543
11385,85,0.588235294,0.305882353,0.094117647
11358,35,0.6,0.285714286,0.085714286
11208,58,0.689655172,0.25862069,0.206896552
11230,39,0.512820513,0.230769231,0.230769231
10019,18,0.055555556,0.333333333,0.111111111
11435,29,0.551724138,0.206896552,0.068965517
10466,50,0.64,0.4,0.1
10457,41,0.56097561,0.073170732,0.048780488
10302,36,0.777777778,0.555555556,0.305555556
11204,30,0.5,0.366666667,0.033333333
10306,61,0.426229508,0.213114754,0.098360656
11357,48,0.4375,0.229166667,0.041666667
10040,37,0.783783784,0.432432432,0.378378378
10004,7,,0.142857143,0.285714286
11428,30,0.566666667,0.266666667,0.033333333
11377,21,0.428571429,0.285714286,0.047619048
10310,53,0.641509434,0.169811321,0.188679245
11224,39,0.282051282,0.128205128,0.076923077
11434,20,0.3,0.25,0.15
10305,79,0.632911392,0.341772152,0.063291139
10027,22,0.227272727,0.454545455,0.090909091
10462,60,0.55,0.266666667,0.166666667
11226,32,0.34375,0.375,0.09375
11236,24,0.375,0.083333333,0.041666667
11214,45,0.466666667,0.177777778,0.088888889
10452,42,0.738095238,0.380952381,0.095238095
10030,7,0.714285714,0.142857143,0.571428571
10463,29,0.310344828,0.206896552,0.206896552
10459,35,0.457142857,0.257142857,0.085714286
10314,113,0.522123894,0.380530973,0.115044248
11223,30,0.6,0.333333333,0.033333333
11232,23,0.652173913,0.173913043,0.217391304
10023,10,,0.3,0.2
11220,49,0.408163265,0.326530612,0.102040816
11368,62,0.774193548,0.306451613,0.096774194
11375,91,0.615384615,0.395604396,0.142857143
11373,61,0.557377049,0.31147541,0.032786885
10451,27,0.851851852,0.296296296,0.148148148
11369,45,0.577777778,0.244444444,0.044444444
11215,39,0.282051282,0.153846154,0.025641026
11106,6,,0.333333333,0.166666667
11207,29,0.655172414,0.068965517,0.172413793
10473,53,0.471698113,0.245283019,0.113207547
11412,17,0.529411765,0.117647059,0.117647059
11365,55,0.581818182,0.363636364,0.036363636
11216,34,0.588235294,0.147058824,0.147058824
10469,60,0.566666667,0.216666667,0.05
11205,16,0.3125,0.1875,0.1875
11105,10,0.5,0.3,0.1
10301,53,0.528301887,0.396226415,0.037735849
11103,24,0.666666667,0.375,0.083333333
10304,71,0.591549296,0.492957746,0.112676056
10303,46,0.739130435,0.347826087,0.108695652
10472,64,0.53125,0.421875,0.015625
11378,16,0.25,0.3125,0.0625
11361,31,0.580645161,0.258064516,0.064516129
11221,114,0.622807018,0.140350877,0.087719298
11413,7,0.857142857,0.142857143,0.285714286
10467,46,0.608695652,0.304347826,0.086956522
10029,22,0.090909091,0.090909091,0.136363636
11367,59,0.457627119,0.542372881,0.06779661
10470,11,0.181818182,0.363636364,0.090909091
11356,30,0.5,0.2,0.066666667
11206,32,0.59375,0.0625,0.0625
10308,35,0.257142857,0.371428571,0.057142857
11228,42,0.119047619,0.095238095,0.023809524
10034,12,0.333333333,0.083333333,0.166666667
11370,26,0.538461538,0.153846154,0.076923077
11427,11,0.818181818,0.181818182,0.272727273
10458,37,0.540540541,0.243243243,0.162162162
11217,31,0.741935484,0.387096774,0.483870968
11423,15,0.733333333,0.2,0.066666667
11213,51,0.62745098,0.294117647,0.235294118
10465,45,0.577777778,0.444444444,0.088888889
10307,16,0.25,0.375,0.0625
11233,32,0.5,0.34375,0.15625
11219,16,0.625,0.1875,0.125
10312,54,0.5,0.481481481,0.074074074
11218,41,0.56097561,0.292682927,0.195121951
11379,38,0.289473684,0.263157895,0.078947368
11429,13,0.692307692,0.307692308,0.230769231
11229,38,0.315789474,0.236842105,0.078947368
11420,28,0.571428571,0.214285714,0.071428571
11692,18,0.833333333,0.333333333,0.166666667
10022,7,,0.428571429,0.142857143
11210,14,0.571428571,0.142857143,0.071428571
10309,20,0.15,0.15,0.15
11237,90,0.7,0.3,0.022222222
10468,38,0.605263158,0.131578947,0.026315789
11355,33,0.393939394,0.424242424,0.060606061
10012,8,0.125,0.375,0.25
11104,1,,1,
10001,2,,0.5,0.5
11354,19,0.526315789,0.526315789,0.052631579
10453,27,0.481481481,0.222222222,0.037037037
11417,39,0.307692308,0.512820513,0.025641026
10471,29,0.75862069,0.586206897,0.034482759
10010,5,,0.2,
11211,33,0.757575758,0.181818182,
10035,23,0.47826087,,
10460,25,0.44,0.28,
10455,12,0.333333333,0.25,
11225,52,0.769230769,0.230769231,
11231,34,0.294117647,0.117647059,
10039,11,0.090909091,0.090909091,0.090909091
10025,15,0.266666667,0.133333333,
10456,41,0.731707317,0.146341463,
11418,25,0.52,0.24,0.04
11419,24,0.541666667,0.125,
11212,29,0.034482759,0.172413793,0.034482759
10002,20,0.25,0.05,0.05
10474,15,0.6,0.266666667,0.066666667
11372,18,0.611111111,0.277777778,
10009,31,0.35483871,0.129032258,
11693,5,0.4,,
10065,12,0.416666667,,
11101,17,0.176470588,0.058823529,0.058823529
10011,13,0.307692308,0.230769231,0.076923077
11209,40,0.225,0.275,0.1
10032,18,0.333333333,0.055555556,
11364,17,0.823529412,0.117647059,0.117647059
11201,16,0.25,0.4375,0.0625
11436,4,0.5,0.25,
11366,11,0.818181818,0.181818182,
10454,27,0.666666667,0.407407407,0.037037037
10014,4,0.25,,
10036,23,0.130434783,0.304347826,
11238,19,0.631578947,0.315789474,0.052631579
11235,27,0.333333333,0.148148148,
11697,1,,,
10031,24,0.541666667,0.458333333,
10033,17,0.823529412,0.352941176,
11415,9,0.555555556,0.444444444,0.111111111
11203,35,0.228571429,0.314285714,0.028571429
11694,14,0.357142857,0.071428571,0.071428571
11433,20,0.6,0.35,
11222,12,0.416666667,0.166666667,0.083333333
11102,12,,,
11362,9,0.111111111,,
11432,24,0.5,0.125,0.041666667
10013,2,0.5,,
10003,21,,0.428571429,
11360,6,0.166666667,,
10018,3,0.333333333,,
10475,4,0.25,,0.25
11426,12,0.666666667,0.416666667,0.083333333
10016,5,,0.6,
10024,10,0.3,0.2,
10026,6,0.5,,
10128,4,,,
10028,3,,,
11411,3,1,,
10017,2,,,
10020,1,,,
11249,6,,0.5,
10038,3,,,
10021,4,,0.75,
10168,1,,1,
10464,2,0.5,0.5,
11363,10,0.5,0.7,
10075,2,,,
11001,5,1,0.6,
10069,1,,,
10005,1,,,
10000,1,,1,
